Ja,sì
Nein,no
Vielleicht,"forse, può essere"
Bitte,per favore
Danke,grazie
Entschuldige / Entschuldigen Sie,scusa / scusi
Alles klar,"va bene, tutto a posto"
Ich verstehe (nicht),(Non) capisco
Sprechen Sie / Sprichst Du Deutsch?,Parla / Parli tedesco?
Ich spreche kein Italienisch,Non parlo italiano
Hilfe!,Aiuto!
Ein bisschen langsamer bitte,Un po’ più lentamente per favore
Gesundheit!,Salute!
Prost!,Salute! Cin cin!
wo,dove
wann,quando
wer,chi
warum,perché
Name,nome
Wie heißen Sie / heißt Du?,Come si chiama / ti chiami?
Ich heiße…,"Il mio nome è…, Mi chiamo…"
Ich bin…,Sono…
Es ist nett Sie / Dich kennenzulernen.,Piacere di conoscerla / conoscerti.
Ich bin X Jahre alt,Ho x anni
Ich komme aus…,Io vengo da …
Wie alt sind Sie / bist Du?,Quanti anni ha / hai?
Wo arbeiten Sie / arbeitest Du?,Dove lavora / lavori?
Wo kommen Sie her / kommst Du her?,Da dove viene? / vieni?
Was bringt Sie / Dich hierher?,Cosa la porta / porti qui?
Wie war Ihre / Deine Reise?,Com’è andato il suo / tuo viaggio?
Haben Sie / Hast Du eine gute Zeit?,Si sta / Ti stai divertendo?
Was halten Sie / hältst Du von …?,Che ne pensa /pensi di …?
Meine Freunde nennen mich …,I miei amici mi chiamano …
Kennen wir uns?,Ci siamo già incontrati?
Dies ist (Name),Lei è/Lui è
Wie war Ihr / Dein Wochenende?,Com’è andato il suo / tuo fine settimana?
Begrüssung / Verabschiedung,Saluto
Hallo,Ciao
Guten Morgen,Buongiorno!
Guten Tag,Buon pomeriggio
Guten Abend,Buona sera
Gute Nacht,Buona notte
Tschüss,Ciao
Auf Wiedersehen,"Arrivederci, Arrivederla"
Wie geht es Ihnen / Dir?,Come sta / stai?
gut,bene
schlecht,male
Hey / Hallo,Ciao
Wie geht’s?,Come va? / Come stai?
Was geht?,Come va?
Schön Sie / Dich zu sehen.,Piacere di vederla / vederti.
Nett Sie / Dich kennenzulernen.,Piacere di conoscerLa / conoscerti.
Mach’s gut.,Stammi bene!
Lange nicht gesehen.,E’ da molto che non ci si vede
Wie steht’s?,Come vanno le cose?
Reise,Viaggio
Ich möchte gerne…,Mi piacerebbe… / Vorrei…
Wo sind die Toilleten?,Dov’è il bagno?
Wie spät ist es?,Che ore sono? Che ora è?
Ich übernachte bei…,Sono ospite da…
Ich besuche Familie,Sto visitando la famiglia
Ich bin hier für X Tage,Sono qui per x giorni
Haben Sie eine Karte?,Ha una mappa?
Reisepass,il passaporto
Flughafen,l‘aeroporto
Hafen,il porto
Sicherheit,la sicurezza
Flugzeug,l‘aereo
Zug,il treno
Schiff,la nave
Fahrrad,la bicicletta
Motorrad,"la moto, motocicletta"
Bus,l‘autobus
fliegen,volare
fahren (z. B. Autofahren),guidare
segeln,navigare
"fahren, gehen (nach, in Richtung von)",andare
Wegbeschreibungen,"Indicazioni, Direzione"
links,sinistra
rechts,destra
hier,qui / qua
dort,"lì, là"
hinter,dietro
hinauf,su
runter,giù
geradeaus,dritto
Ort,il luogo
Wo ist…?,Dov’è…?
Wie komme ich nach…?,Come si arriva a…?
Ich suche die … Straße.,Sto cercando la via…
um die Ecke,dietro l’angolo
weit,lontano
in der Nähe von,vicino a
gegenüber von,di fronte a
Folgen Sie mir,Me segua
neben X,vicino a X
vorbeigehen,passare
zwischen,tra / fra
Zeiten / Daten,Tempo / Data
jetzt,adesso / ora
heute,oggi
morgen,domani
gestern,ieri
Sekunde,il secondo
Minute,il minuto
Stunde,l‘ora
Tag,il giorno
Woche,la settimana
Monat,il mese
Jahr,l‘anno
früh,presto
spät,tardi
Montag,il lunedì
Dienstag,il martedì
Mittwoch,il mercoledì
Donnerstag,il govedì
Freitag,il venerdì
Samstag,il sabato
Sonntag,la domenica
Frühling,la primavera
Sommer,l‘estate
Herbst,l‘autunno
Winter,l‘inverno
Januar,il gennaio
Februar,il febbraio
März,il marzo
April,l‘aprile
Mai,il maggio
Juni,il giugno
Juli,il luglio
August,l‘agosto
September,il settembre
Oktober,ilottobre
November,il novembre
Dezember,il dicembre
Uhrzeit,l‘ora
Wie spät ist es?,Che ora è?
Jahrzehnt,il decennio
Jahrhundert,il secolo
Orte,"Posti, Luoghi"
Supermarkt,il supermercato
Krankenhaus,l‘ospedale
Bank,la banca
Hotel,l‘hotel
Bar,il bar
Apotheke,la farmacia
Strand,la spiaggia
Restaurant,il ristorante
Flughafen,l‘aeroporto
Bäckerei,la panetteria
Bushaltestelle / Busbahnhof,la fermata dell’autobus / la stazione degli autobus
Kirche,la chiesa
Kino,il cinema
Tankstelle,il distributore di benzina
Museum,il museo
Polizeistation,la stazione di polizia
Schule,la scuola
Platz,la piazza
Supermarkt,il supermercato
Zoo,lo zoo
Einkaufen,Comprare
teuer,"costoso, caro"
billig,"economico, a buon mercato"
kostenlos,gratuito
Wie viel kostet das?,Quanto è?
Kassierer/in,il cassiere / la cassiera
Trolley / Warenkorb,il carrello della spesa
Tasche,la borsa
Garantie,la garanzia
Rückgaberecht,la politica di rimborso
Kundenkarte,la carta fedeltà
Mehrwertsteuer-Quittung,la ricevuta con IVA
Rabatt,lo sconto
Gang,la corsia
Regal,lo scaffale
Umkleidekabine,il camerino / la cabina
Lieferung,la consegna
Schlussverkauf,la svendita
"Entschuldigen Sie, arbeiten Sie hier?","Mi scusi, lei lavora qui?"
Im Restaurant,Al ristorante
"Einen Tisch für X Personen, bitte.","Un tavolo per X, per favore."
Ich würde gerne bestellen.,Vorrei ordinare.
Kann ich bitte die Karte haben?,"Vorrei vedere il menu, per favore?"
Die Rechnung bitte.,Il conto per favore.
Frühstück,la colazione
Mittagsessen,il pranzo
Abendessen,la cena
Besteck,le posate
Serviette,il tovagliolo
Brunch,il brunch
Hauptgang,il piatto principale
Dessert,il dessert / il dolce
Trinkgeld,la mancia
Beilage,il contorno
Getränke,la bibite
all you can eat,all you can eat (mangiare a volontà)
Happy Hour,happy hour
Appetizer,l‘antipasto
Im Hotel,All’hotel
Zimmer,la camera
Zimmerservice,il servizio in camera
Badezimmer,il bagno
Bett,il letto
