german,italian
Einen Tisch f�r zwei bitte.,"Un tavolo per due, per favore"
Ist dieser Tisch ist frei?,Questo tavolo è libero
K�nnen sie mir bitte die Speisekarte bringen?,"Mi può portare il menù, per favore?"
"Die Getränkekarte, bitte","La lista delle bevande, per favore"
Ich w�rde gern einen Tisch f�r 2 Personen f�r heute Abend um 8 Uhr bestellen.,Vorrei prenotare un tavolo per due persone per le otto di questa sera
Was empfehlen sie uns,Cosa ci consiglia?
Ich möchte bestellen.,Io voglio ordinare
Wir fangen mit einem Salat an.,Cominciamo con un’insalata.
Habt ihr schon entschieden was ihr essen wollt?,Avete già deciso cosa volete mangiare?
Das Essen war super,Il cibo era delizioso!
Kompliment an den Koch.,I miei complimenti allo chef.
Wo ist die Toilette?,Dove il bagno?
Wir hätten gern eine Vorspeise zum teilen.,Vogliamo un antipasto da condividere.
Wir würden gern schon mal Getränke bestellen wollen.,Vogliamo cominciare ad ordinare da bere.
Noch nicht. K�nnen sie uns noch 5 minuten geben?,"Non ancora. Ci può dare altri cinque minuti, per favore?"
Als Beilage h�tte ich gern eine Portion …,Come contorno vorrei una porzione di patatine fritte.
Ich will heute Abend nicht viel essen.,Non voglio mangiare molto stasera.
Darf ich bitte etwas parmesan haben?,"Posso avere un po’ di parmigiano, per favore?"
Uns fehlt ein L�ffel.,Ci manca un cucchiaio
Können sie uns Salz und Pfeffer bringen bitte?,"Potrebbe portarci sale e pepe, per favore?"
Hat es ihnen geschmeckt?,Le è piaciuto?
Darf ich dir etwas anbieten?,Posso offrirti qualcosa?
Packst du es mir ein?,Me lo fai da portare via?
Ich bin satt. Ich kann nicht mehr essen.,Sono pieno. Non riesco a mangiare di più.
"Die Rechnung, bitte.","Il conto, per favore."
Alles zusammen.,Tutto insieme.
"Es stimmt so, danke.","Va bene cosi, grazie."
Wie heißt du?,Come ti chiami?
Wie alt bist du?,Quanti anni hai?
Wie geht es dir?,Come stai?
Mir geht es gut.,Sto bene.
Mir geht es schlecht.,Sto male.
Es freut mich dich kennen zu lernen,Piacere di conoscerti
Ich habe hunger.,Ho fame.
Spricht hier jemand deutsch?,C’é qualcuno che parla tedesco?
Ich brauche Hilfe.,Ho bisogno di aiuto.
Ich habe ich verlaufen.,Mi sono persa.
Ich bin Deutsche.,Io sono tedesca.
Woher kommst du?,Di dove sei?
Ich habe den Zug verpasst.,Ho perso il treno.
Wie spät ist es?,Che ore sono?
Tu mir das nicht an!,Non farmi questo!
Was kotet ein Ticket?,Quanto costa un biglietto?
Wohin fährt dieser Zug?,Dove va questo treno?
Wann fährt der Bus nach Rom?,Quando parte il bus per Roma?
Wie viel kostet es?,Quanto costa?
"Auf Wiedersehen, bis zum nächsten Mal.","Arrivederci, alla prosima."
Heute ist es heiß.,Oggi fa caldo.
Ich habe großen Spaß.,Mi sto divertendo molto.
"Entschuldigung, ich verstehe nicht.","Mi scusi, io non capisco."
Könnten sie/ könntest du das bitte widerholen?,"Potrebbe / potresti ripetere, per favore?"
Könntest du mal bitte her kommen.,Potresti venire qui per favore?
Was bdeutet das?,Cosa vuol dire?
sprechen sie Englisch?,Parla inglese?
Lo so.,Ich weiß es.
Ich lass dich entscheiden.,Lascio decidere a te.
Wo muss ich hin gehen? ,Dove devo andare?
"Entschuldigung, darf ich sie etwas fragen?","Mi scusi, posso farle una domanda?"
Einen Moment bitte.,Un attimo.
Wo lebst du?,Dove vivi?
Was für ein schöner Tag.,Che bella giornata!
Ich warte hier auf dich.,Io ti aspetto qui.
